lection,season,day,week
Heb 9:11–14,Lent,Sunday,5
Heb 12:28–13:8,Lent,Saturday,6
Phil 4:4–9,Great Week,Sunday,""
1Cor 11:23–32,Great Week,Thursday,""
Gal 6:14–18,Great Week,Friday,""
Rom 5:6–11,Great Week,Friday,""
Heb 2:11–18,Great Week,Friday,""
Heb 10:19–31,Great Week,Friday,""
1Cor 1:18–2:2,Great Week,Friday,""
"1Cor 5:6–8; Gal 3:13, 14",Great Week,Saturday,""
Rom 6:3–11,Great Week,Saturday,""
